"CA Owner","Salesforce Record ID","Certificate Name","Parent Salesforce Record ID","Parent Certificate Name","Certificate Record Type","Revocation Status","SHA-256 Fingerprint","Parent SHA-256 Fingerprint","Audits Same as Parent?","Auditor","Standard Audit URL","Standard Audit Type","Standard Audit Statement Date","Standard Audit Period Start Date","Standard Audit Period End Date","BR Audit URL","BR Audit Type","BR Audit Statement Date","BR Audit Period Start Date","BR Audit Period End Date","EV SSL Audit URL","EV SSL Audit Type","EV SSL Audit Statement Date","EV SSL Audit Period Start Date","EV SSL Audit Period End Date","EV Code Signing Audit URL","EV Code Signing Audit Type","EV Code Signing Audit Statement Date","EV Code Signing Audit Period Start Date","EV Code Signing Audit Period End Date","CP/CPS Same as Parent?","Certificate Policy (CP) URL","Certificate Practice Statement (CPS) URL","CP/CPS Last Updated Date","Test Website URL - Valid","Test Website URL - Expired","Test Website URL - Revoked","Technically Constrained","Mozilla Status","Microsoft Status" 
"A-Trust","001o000000HshE1AAJ","A-Trust-nQual-03","001o000000HsfogAAB","A-Trust","Root Certificate","","793CBF4559B9FDE38AB22DF16869F69881AE14C4B0139AC788A78A1AFCCA02FB","","false","Ernst & Young, LLP","https://cert.webtrust.org/SealFile?seal=1932&file=pdf","WebTrust","2015.06.26","2015.06.26","2015.06.26","https://cert.webtrust.org/SealFile?seal=1934&file=pdf","WebTrust","2015.06.26","2015.06.26","2015.06.26","https://cert.webtrust.org/SealFile?seal=1933&file=pdf","WebTrust","2015.06.26","2015.06.26","2015.06.26","","","","","","false","https://www.a-trust.at/docs/cp","https://www.a-trust.at/docs/cps","","https://test1.a-trust.at/","","","false","Removed","Removed" 
"A-Trust","001o000000vmkrwAAA","A-Trust-nQual-03","001o000000HsfogAAB","A-Trust","Root Certificate","","8688E58F4C7A945FADCE7F62BFEF521B82DA7DC38BFDB0163478A5FE42E57870","","false","Ernst & Young, LLP","","","","","","","","","","","","","","","","","","","","","false","","","","","","","false","Not Yet Included","Included" 
"A-Trust","001o000000rGWg9AAG","A-Trust-Qual-02","001o000000HsfogAAB","A-Trust","Root Certificate","","F28630BABF256E567B5821069FCF13148AB9A23E28FC0D70615AAE6ED284F4C8","","false","Ernst & Young, LLP","","","","","","","","","","","","","","","","","","","","","false","","","","","","","false","Not Yet Included","Included" 
"A-Trust","001o000000rGWZ3AAO","A-Trust-Qual-03","001o000000HsfogAAB","A-Trust","Root Certificate","","6BAF50AE3467EFF3C35FEFDC76A02A97FAB6267723EDA91E99F1B3DC2B28F82E","","false","Ernst & Young, LLP","","","","","","","","","","","","","","","","","","","","","false","","","","","","","false","Not Yet Included","Included" 
"A-Trust","001o000000rGWXbAAO","A-Trust-Root-05","001o000000HsfogAAB","A-Trust","Root Certificate","","2DDE9D0C0A90E7B32B5ABC01F41799D42E95A1E3C31C3B39373BB8141EA54471","","false","Ernst & Young, LLP","","","","","","","","","","","","","","","","","","","","","false","","","","","","","false","Not Yet Included","Included" 
"AC Camerfirma, S.A.","001o000000HshEIAAZ","Chambers of Commerce Root","001o000000HsfokAAB","AC Camerfirma, S.A.","Root Certificate","","0C258A12A5674AEF25F28BA7DCFAECEEA348E541E6F5CC4EE63B71B361606AC3","","false","Auren","https://www.cpacanada.ca/generichandlers/aptifyattachmenthandler.ashx?attachmentid=230425","WebTrust","2019.05.03","2018.04.14","2019.04.13","https://bugzilla.mozilla.org/attachment.cgi?id=8995930","WebTrust","2018.07.14","2017.04.14","2018.04.13","https://bugzilla.mozilla.org/attachment.cgi?id=8995931","WebTrust","2018.07.14","2017.04.14","2018.04.13","","","","","","false","https://www.camerfirma.com/publico/DocumentosWeb/politicas/CAMERFIRMA_CPS_EIDAS_ES_1.2.10.pdf","https://www.camerfirma.com/publico/DocumentosWeb/politicas/CAMERFIRMA_CPS_EIDAS_EN_1.2.10.pdf","2019.02.10","https://server1ok.camerfirma.com","https://server1.camerfirma.com","https://server1rv.camerfirma.com","false","Included","Included" 
"AC Camerfirma, S.A.","001o000000HshEJAAZ","Chambers of Commerce Root - 2008","001o000000HsfokAAB","AC Camerfirma, S.A.","Root Certificate","","063E4AFAC491DFD332F3089B8542E94617D893D7FE944E10A7937EE29D9693C0","","false","Auren","https://www.cpacanada.ca/generichandlers/aptifyattachmenthandler.ashx?attachmentid=230425","WebTrust","2019.05.03","2018.04.14","2019.04.13","https://bugzilla.mozilla.org/attachment.cgi?id=9072794","ETSI EN 319 411","2019.03.28","2018.05.08","2019.03.28","https://bugzilla.mozilla.org/attachment.cgi?id=9072794","ETSI EN 319 411","2019.03.28","2018.05.08","2019.03.28","","","","","","false","https://www.camerfirma.com/publico/DocumentosWeb/politicas/CAMERFIRMA_CPS_EIDAS_ES_1.2.10.pdf","https://www.camerfirma.com/publico/DocumentosWeb/politicas/CAMERFIRMA_CPS_EIDAS_EN_1.2.10.pdf","2019.02.10","https://server3ok.camerfirma.com","https://server3.camerfirma.com","https://server3rv.camerfirma.com","false","Included","Included" 
"AC Camerfirma, S.A.","001o000000xPOViAAO","CHAMBERS OF COMMERCE ROOT - 2016","001o000000HsfokAAB","AC Camerfirma, S.A.","Root Certificate","","04F1BEC36951BC1454A904CE32890C5DA3CDE1356B7900F6E62DFA2041EBAD51","","false","Auren","https://bugzilla.mozilla.org/attachment.cgi?id=8995928","WebTrust","2018.07.14","2017.04.14","2018.04.13","https://bugzilla.mozilla.org/attachment.cgi?id=8995930","WebTrust","2018.07.14","2017.04.14","2018.04.13","https://bugzilla.mozilla.org/attachment.cgi?id=8995931","WebTrust","2018.07.14","2017.04.14","2018.04.13","","","","","","false","http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_eidas_v_1_2_3.pdf","http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_eidas_EN_v_1_2_3.pdf","2018.03.28","https://cevok.camerfirma.com","https://cev.camerfirma.com","https://cevrv.camerfirma.com","false","Not Yet Included","Included" 
"AC Camerfirma, S.A.","001o000000HshF0AAJ","Global Chambersign Root","001o000000HsfokAAB","AC Camerfirma, S.A.","Root Certificate","","EF3CB417FC8EBF6F97876C9E4ECE39DE1EA5FE649141D1028B7D11C0B2298CED","","false","Auren","https://www.cpacanada.ca/generichandlers/aptifyattachmenthandler.ashx?attachmentid=230425","WebTrust","2019.05.03","2018.04.14","2019.04.13","https://bugzilla.mozilla.org/attachment.cgi?id=8995930","WebTrust","2018.07.14","2017.04.14","2018.04.13","https://bugzilla.mozilla.org/attachment.cgi?id=8995931","WebTrust","2018.07.14","2017.04.14","2018.04.13","","","","","","false","https://www.camerfirma.com/publico/DocumentosWeb/politicas/CAMERFIRMA_CPS_EIDAS_ES_1.2.10.pdf","https://www.camerfirma.com/publico/DocumentosWeb/politicas/CAMERFIRMA_CPS_EIDAS_EN_1.2.10.pdf","2019.02.10","https://server4ok.camerfirma.com","https://server4.camerfirma.com","https://server4rv.camerfirma.com","false","Included","Included" 
"AC Camerfirma, S.A.","001o000000HshF1AAJ","Global Chambersign Root - 2008","001o000000HsfokAAB","AC Camerfirma, S.A.","Root Certificate","","136335439334A7698016A0D324DE72284E079D7B5220BB8FBD747816EEBEBACA","","false","Auren","https://www.cpacanada.ca/generichandlers/aptifyattachmenthandler.ashx?attachmentid=230425","WebTrust","2019.05.03","2018.04.14","2019.04.13","https://www.cpacanada.ca/generichandlers/aptifyattachmenthandler.ashx?attachmentid=236204","WebTrust","2019.09.19","2018.04.14","2019.04.13","","","","","","","","","","","false","https://www.camerfirma.com/publico/DocumentosWeb/politicas/CPS-ES-v3.3.5.pdf","https://www.camerfirma.com/publico/DocumentosWeb/politicas/CAMERFIRMA_CPS_EN_3.3.4.pdf","2019.08.30","https://valid.ovcf.ca3.infocert.it","https://expired.ovcf.ca3.infocert.it","https://revoked.ovcf.ca3.infocert.it","false","Included","Included" 
